(Debby,3.2941176470588234)
(Erika,3.2)
(Erin,3.4166666666666665)
(Gordon,2.5517241379310347)
(Gustav,3.6666666666666665)
(Hanna,3.5483870967741935)
(Helene,3.923076923076923)
(Humberto,2.6923076923076925)
(Iris,2.0)
(Isaac,2.3333333333333335)
(Itoe,3.7142857142857144)
(Kazuko,3.3157894736842106)
(Kumiko,3.0)
(Lee,3.0555555555555554)
(Leslie,2.6666666666666665)
(Lili,3.25)
(Miyako,2.0)
(Nanaho,3.1875)
(Naoko,3.3333333333333335)
(Nate,3.125)
(Nicole,3.090909090909091)
(Oscar,3.142857142857143)
(Paloma,3.090909090909091)
(Rafael,3.3333333333333335)
(Reina,2.727272727272727)
(Sayuri,2.909090909090909)
(Stan,3.125)
(Tanya,3.3333333333333335)
(Virginie,4.0)
(Wanda,3.1818181818181817)
(Youko,3.4166666666666665)
