(June,12.0)
(June,11.0)
(July,50.0)
(June,20.0)
(June,25.25)
(August,32.0)
(June,28.0)
(June,25.666666666666668)
(August,37.0)
(June,27.857142857142858)
(August,36.0)
(July,38.5)
(August,36.5)
(July,29.666666666666668)
(June,26.875)
(August,32.4)
(June,25.77777777777778)
(August,35.333333333333336)
(July,25.0)
(August,35.285714285714285)
(August,33.875)
(August,34.44444444444444)
(August,35.5)
(June,25.5)
(July,26.8)
(June,26.90909090909091)
(July,26.0)
(July,24.714285714285715)
(August,33.18181818181818)
(June,25.75)
(June,26.384615384615383)
(August,33.833333333333336)
(August,34.92307692307692)
(June,27.857142857142858)
(June,26.733333333333334)
(August,33.857142857142854)
(July,26.5)
(June,26.1875)
(June,27.11764705882353)
(August,32.4)
(August,31.4375)
(August,32.23529411764706)
(August,32.05555555555556)
(June,27.38888888888889)
(August,31.94736842105263)
(July,28.333333333333332)
(June,27.736842105263158)
(June,27.45)
(August,32.0)
(June,27.19047619047619)
(June,27.772727272727273)
(July,29.7)
(July,30.818181818181817)
(July,31.916666666666668)
(June,27.043478260869566)
(June,26.666666666666668)
(July,31.384615384615383)
(August,32.714285714285715)
(August,32.95454545454545)
(July,32.285714285714285)
(July,32.2)
(July,31.4375)
(June,26.16)
(July,31.058823529411764)
(June,26.423076923076923)
(August,33.47826086956522)
(July,31.333333333333332)
(July,32.0)
(June,26.25925925925926)
(July,31.65)
(June,25.892857142857142)
(July,31.666666666666668)
(June,25.93103448275862)
(August,34.166666666666664)
(July,31.681818181818183)
(June,25.466666666666665)
(July,31.91304347826087)
(June,25.516129032258064)
(August,34.28)
(June,25.59375)
(July,31.5)
(August,33.76923076923077)
(June,25.181818181818183)
(August,33.074074074074076)
(August,33.535714285714285)
(June,25.529411764705884)
(August,32.827586206896555)
(July,31.04)
(August,32.333333333333336)
(August,32.38709677419355)
(August,32.0)
(June,26.114285714285714)
(June,25.833333333333332)
(August,32.54545454545455)
(August,32.0)
(July,30.73076923076923)
(August,32.25714285714286)
(July,31.40740740740741)
(August,32.416666666666664)
(August,32.486486486486484)
(July,31.5)
(August,32.63157894736842)
(June,25.945945945945947)
(August,32.8974358974359)
(June,25.63157894736842)
(August,32.975)
(June,26.23076923076923)
(June,26.15)
(August,33.09756097560975)
(August,33.04761904761905)
(August,32.627906976744185)
(August,32.93181818181818)
(June,26.390243902439025)
(August,33.13333333333333)
(July,31.724137931034484)
(August,33.04347826086956)
(June,26.428571428571427)
(August,32.57446808510638)
(July,32.1)
(August,32.375)
(June,26.6046511627907)
(June,26.772727272727273)
(August,32.69387755102041)
(June,27.155555555555555)
(June,27.02173913043478)
(July,31.967741935483872)
(August,32.54)
(June,27.085106382978722)
(July,31.84375)
(August,32.549019607843135)
(August,32.84615384615385)
(August,33.075471698113205)
(August,32.870370370370374)
(July,31.666666666666668)
(August,33.0)
(July,32.05882352941177)
(August,33.25)
(June,26.770833333333332)
(July,32.457142857142856)
(July,31.944444444444443)
(July,32.16216216216216)
(August,33.473684210526315)
(June,26.93877551020408)
(June,26.78)
(August,33.672413793103445)
(July,32.421052631578945)
(July,32.717948717948715)
(August,33.33898305084746)
(August,33.6)
(August,33.36065573770492)
(July,33.05)
(July,32.63414634146341)
(August,33.62903225806452)
(August,33.36507936507937)
(July,32.69047619047619)
(July,32.41860465116279)
(June,26.862745098039216)
(August,33.265625)
(June,27.03846153846154)
(August,32.90769230769231)
(July,32.43181818181818)
(August,32.93939393939394)
(June,27.056603773584907)
(June,27.055555555555557)
(August,32.91044776119403)
(August,33.11764705882353)
(July,32.644444444444446)
(June,27.12727272727273)
